ticker,tier,nS,sumS,sqS,nC,sumC,sqC
SHEL.L,large,50,-94.098,606.241,731,-134.546,1853.496
AZN.L,large,13,4.363,36.532,860,-210.941,1264.830
HSBA.L,large,24,16.510,86.062,992,-199.323,1696.391
ULVR.L,large,10,2.215,31.271,983,-359.264,1216.297
BP.L,large,15,-9.901,14.180,973,-132.515,1660.109
RIO.L,large,14,-9.155,14.463,972,-195.165,1510.252
GSK.L,large,15,9.955,31.701,976,-208.487,1428.259
DGE.L,large,15,0.540,22.821,981,-342.240,1205.311
BATS.L,large,23,7.961,63.372,805,-214.322,1088.345
GLEN.L,large,16,-17.004,18.096,380,-46.154,579.948
REL.L,large,5,2.510,12.360,972,-152.528,1984.321
LSEG.L,large,27,1.173,71.464,638,-78.808,1086.148
NG.L,large,8,-3.249,8.444,798,-173.351,1353.540
RKT.L,large,28,7.387,63.173,974,-302.643,1460.218
VOD.L,large,39,9.319,59.918,964,-166.874,1555.605
BARC.L,large,21,6.026,45.680,974,-201.346,1660.684
LLOY.L,large,18,-4.448,19.695,786,-179.108,1186.301
PRU.L,large,3,-1.159,1.252,971,-213.600,1552.825
AAL.L,large,9,-4.868,7.972,714,-114.837,1078.485
TSCO.L,large,36,-18.203,44.308,972,-285.628,1474.416
IMB.L,large,21,1.668,32.289,746,-256.240,1121.573
CPG.L,mid,9,-1.522,1.686,671,-249.909,800.336
BA.L,large,22,-5.985,27.718,984,-142.235,1574.900
STAN.L,large,22,-10.238,38.029,997,-168.055,1947.857
NWG.L,large,23,5.743,40.425,979,-108.650,1593.578
HLN.L,large,0,0.000,0.000,82,-12.049,109.951
SGE.L,large,29,-23.498,41.435,939,-230.666,1707.613
INF.L,large,22,-1.892,37.445,683,-174.734,1057.620
WPP.L,large,16,4.197,22.409,798,-134.169,1156.508
ANTO.L,large,96,-17.016,230.261,986,-80.198,2185.837
FRES.L,large,10,-3.826,14.130,442,-79.107,630.564
SSE.L,large,32,-11.089,89.180,910,-221.330,1442.204
AV.L,large,11,-4.630,18.361,975,-219.510,1632.043
LGEN.L,large,3,-0.944,2.848,974,-180.084,1787.368
