ticker,cur,pxusd,tier,nS,sumS,sqS,nC,sumC,sqC
SHEL.L,GBp,44.22,mid,50,-116.729,989.011,731,-189.361,2186.052
AZN.L,GBp,160.51,large,13,4.363,36.532,860,-210.941,1264.830
HSBA.L,GBp,20.63,mid,24,15.254,82.695,992,-242.105,1717.646
ULVR.L,GBp,63.01,mid,10,2.215,31.271,983,-359.264,1216.297
BP.L,GBp,6.98,small,15,-12.357,18.203,973,-278.274,1722.870
RIO.L,GBp,101.57,large,14,-9.155,14.463,972,-195.165,1510.252
GSK.L,GBp,26.45,mid,15,9.402,30.628,976,-246.212,1445.745
DGE.L,GBp,24.15,mid,15,0.095,22.745,981,-376.809,1232.844
BATS.L,GBp,59.65,mid,23,7.961,63.372,805,-214.322,1088.345
GLEN.L,GBp,7.52,small,16,-18.543,21.559,380,-78.710,589.454
REL.L,GBp,35.44,mid,5,2.210,11.999,972,-202.230,1999.541
LSEG.L,GBp,120.35,large,27,1.173,71.464,638,-78.808,1086.148
NG.L,GBp,16.19,small,8,-3.562,8.769,798,-206.737,1372.623
RKT.L,GBp,71.59,mid,28,7.387,63.173,974,-302.643,1460.218
VOD.L,GBp,1.63,micro,39,-23.018,73.340,964,-994.021,2585.142
BARC.L,GBp,6.96,small,21,3.563,44.144,974,-330.420,1732.191
LLOY.L,GBp,1.55,micro,18,-12.965,29.326,786,-779.419,2020.032
PRU.L,GBp,14.09,small,3,-1.719,1.769,971,-335.467,1623.544
AAL.L,GBp,54.27,mid,9,-4.868,7.972,714,-114.837,1078.485
TSCO.L,GBp,6.41,small,36,-23.181,50.140,972,-445.220,1599.829
IMB.L,GBp,37.66,mid,21,0.872,32.450,746,-285.012,1143.562
CPG.L,USD,32.19,mid,9,-1.522,1.686,671,-249.909,800.336
BA.L,GBp,29.95,mid,22,-6.860,27.728,984,-175.791,1585.202
STAN.L,GBp,29.94,mid,22,-10.883,38.834,997,-203.524,1961.954
NWG.L,GBp,9.61,small,23,4.153,38.454,979,-228.390,1622.970
HLN.L,GBp,4.98,micro,0,0.000,0.000,82,-45.775,132.947
SGE.L,GBp,14.15,small,29,-30.201,56.553,939,-485.939,2479.705
INF.L,GBp,12.20,small,22,-3.490,37.617,683,-258.301,1114.505
WPP.L,GBp,5.55,small,16,2.580,21.894,798,-222.468,1191.796
ANTO.L,GBp,53.71,mid,96,-17.016,230.261,986,-80.198,2185.837
FRES.L,GBp,38.64,mid,10,-4.015,14.327,442,-87.472,632.669
SSE.L,GBp,32.25,mid,32,-14.338,91.967,910,-263.765,1463.604
AV.L,GBp,9.61,small,11,-5.783,18.665,975,-376.597,1728.123
LGEN.L,GBp,4.27,micro,3,-1.680,3.967,974,-607.222,3227.963
ABF.L,GBp,28.74,mid,17,-4.651,30.239,987,-260.266,1708.035
WTB.L,GBp,33.96,mid,25,-0.058,37.335,979,-254.270,1574.972
ITRK.L,GBp,78.80,mid,6,3.398,8.278,606,-152.085,900.430
SMIN.L,GBp,36.40,mid,16,-5.318,39.460,976,-215.600,1698.170
HL.L,,,skip,0,0,0,0,0,0
JD.L,GBp,1.28,micro,137,-203.829,875.009,757,-1380.861,20825.542
NXT.L,GBp,211.63,large,18,6.038,50.131,995,-218.679,1641.452
CRDA.L,GBp,44.05,mid,58,10.265,105.080,968,-134.836,1845.143
MNDI.L,GBp,12.43,small,14,0.276,19.285,474,-124.496,665.402
PSN.L,GBp,15.74,small,94,10.950,279.052,981,-168.843,1921.492
BDEV.L,,,skip,0,0,0,0,0,0
RTO.L,GBp,4.86,micro,21,-12.853,28.135,968,-569.371,2058.223
DCC.L,GBp,86.01,mid,3,0.529,0.263,686,-177.382,959.200
BNZL.L,GBp,38.72,mid,34,10.367,87.738,983,-207.360,1770.631
SVT.L,GBp,42.39,mid,26,-6.370,35.743,924,-281.316,1261.494
UU.L,GBp,19.38,small,21,-6.184,36.882,939,-207.213,1439.258
SGRO.L,GBp,12.95,small,54,-19.025,151.808,978,-365.048,1923.570
LAND.L,GBp,9.64,small,17,-11.377,23.172,982,-306.798,1629.248
BLND.L,GBp,5.98,small,21,-5.562,32.855,980,-201.822,1699.947
CCH.L,GBp,66.92,mid,3,0.336,8.228,319,-65.745,482.928
WEIR.L,GBp,36.73,mid,69,-37.999,185.064,978,-160.631,1893.012
HWDN.L,GBp,11.33,small,53,-14.308,126.288,885,-212.264,1645.911
HSX.L,GBp,24.68,mid,25,9.682,86.783,667,-109.251,943.030
BEZ.L,GBp,17.41,small,15,-3.815,18.349,588,-183.933,869.582
DPLM.L,GBp,103.89,large,107,11.807,291.250,989,-204.832,1870.796
MRO.L,GBp,6.55,small,13,0.288,27.512,570,-142.531,876.438
RMV.L,GBp,6.38,small,12,-11.696,14.348,509,-232.750,700.414
AUTO.L,GBp,7.03,small,0,0.000,0.000,278,-83.901,416.880
PSON.L,GBp,16.51,small,17,10.054,12.965,970,-177.661,1777.650
SDR.L,GBp,7.88,small,19,-5.113,43.681,963,-422.975,2227.743
SN.L,GBp,15.02,small,14,-1.121,16.817,925,-240.322,1395.426
SMDS.L,,,skip,0,0,0,0,0,0
GAW.L,GBp,254.74,large,113,16.441,206.346,819,-114.115,1455.996
IWG.L,GBp,2.56,micro,63,14.042,136.371,630,-217.708,1108.275
GRG.L,GBp,25.88,mid,140,-242.758,3159.065,935,-731.897,4547.129
BKG.L,GBp,48.92,mid,107,-69.074,176.353,976,-57.313,2181.830
BAB.L,GBp,16.01,small,93,18.141,296.427,958,-46.834,1969.553
MGGT.L,,,skip,0,0,0,0,0,0
SPX.L,GBp,101.19,large,135,46.574,445.869,977,-223.530,2736.141
HIK.L,GBp,22.63,mid,27,-19.374,26.881,538,-54.994,893.694
CTEC.L,GBp,3.14,micro,7,-8.990,11.573,214,-81.706,359.649
EDV.L,GBp,54.59,mid,27,41.338,141.004,182,-36.307,332.702
ENT.L,GBp,7.35,small,71,-21.911,76.076,534,-96.352,934.664
FLTR.L,GBp,102.38,large,18,-3.078,15.423,704,-108.074,1113.313
IHG.L,USD,158.00,large,0,0.000,0.000,598,-182.539,868.284
III.L,GBp,38.68,mid,16,5.182,27.534,804,-253.569,1090.221
JMAT.L,GBp,29.25,mid,58,-34.274,100.324,976,-185.512,1917.898
KGF.L,GBp,4.42,micro,9,-1.365,4.501,903,-470.363,1858.086
LMP.L,GBp,2.63,micro,20,-15.390,75.469,489,-359.865,1403.233
PHNX.L,,,skip,0,0,0,0,0,0
POLY.L,,,skip,0,0,0,0,0,0
QLT.L,GBp,2.70,micro,4,6.747,11.627,165,-33.074,273.846
RS1.L,GBp,10.03,small,35,-0.660,42.237,993,-257.148,1789.324
SBRY.L,GBp,4.76,micro,14,-13.691,26.823,992,-529.069,1958.399
SThree.L,,,skip,0,0,0,0,0,0
TATE.L,GBp,7.46,small,79,-10.201,200.545,970,-344.882,1617.962
UTG.L,GBp,7.18,small,33,2.319,44.546,676,-201.588,898.895
VTY.L,GBp,3.83,micro,66,-19.194,183.924,726,-315.623,1242.718
WIZZ.L,GBp,14.77,small,20,-4.397,24.252,281,-78.703,391.024
SAP.DE,EUR,205.76,large,15,-11.202,15.272,720,-144.281,1042.856
SIE.DE,EUR,323.51,large,10,-11.141,12.461,766,-154.608,1130.324
ALV.DE,EUR,501.21,large,19,-7.867,16.440,747,-119.940,1342.014
DTE.DE,EUR,33.58,mid,19,-4.516,46.709,769,-169.501,1213.573
AIR.DE,EUR,247.08,large,19,3.472,30.489,698,-189.360,1038.999
MBG.DE,EUR,54.44,mid,29,-17.641,31.541,739,-143.083,1072.301
BMW.DE,EUR,69.12,mid,16,4.610,25.567,759,-150.859,1128.240
BAS.DE,EUR,59.54,mid,16,-9.964,21.893,776,-191.629,1070.565
BAYN.DE,EUR,57.59,mid,26,11.825,79.853,738,-122.943,1152.090
VOW3.DE,EUR,88.24,mid,38,-16.172,49.705,717,-35.383,1113.910
ADS.DE,EUR,189.68,large,28,7.677,70.281,725,-100.797,1172.638
MRK.DE,EUR,166.09,large,8,11.786,37.674,703,-182.603,1001.174
DB1.DE,EUR,316.92,large,28,-27.640,31.140,646,-144.163,950.077
IFX.DE,EUR,71.78,mid,40,-6.429,62.012,699,-144.199,1094.449
MUV2.DE,EUR,595.91,large,14,-12.317,14.363,687,-144.230,1074.781
DHL.DE,EUR,63.96,mid,11,-5.528,17.899,666,-128.568,999.519
RWE.DE,EUR,65.00,mid,18,-12.247,18.671,766,-100.068,1148.847
EOAN.DE,EUR,22.00,mid,15,2.915,11.575,658,-133.564,993.394
HEN3.DE,EUR,92.27,mid,18,1.485,29.617,727,-193.076,986.534
BEI.DE,EUR,93.88,mid,9,-7.853,11.327,722,-218.064,944.449
CON.DE,EUR,78.97,mid,34,2.150,61.711,734,-176.017,1066.519
DBK.DE,EUR,38.03,mid,18,11.407,58.782,756,-137.202,1198.684
VNA.DE,EUR,24.34,mid,3,-0.233,1.520,321,-109.153,471.081
HNR1.DE,EUR,293.21,large,3,2.350,7.537,665,-155.910,1033.472
SY1.DE,EUR,106.28,large,6,-3.844,3.007,481,-112.021,695.973
