claim,source,journal,year,category,definition,testable,data_needed,meta
Idiosyncratic volatility,Fama and MacBeth (1973),Journal of Political Economy,,risk/vol,Residual stock volatility from CAPM,yes,OHLCV 33y + 1m intraday,HLZ
Earnings growth expectations,Ofer (1975),Journal of Finance,1975,risk/vol,"Projecting firm earnings growth based on market beta, firm size, dividend payout ratio, leverage and earnings variability",yes,OHLCV 33y + 1m intraday,HLZ
PE ratio,Basu (1977),Journal of Finance,1977,price,Firm price-to-earnings ratio,yes,OHLCV 33y + 1m intraday,HLZ
Dividend yield,Litzenberger and Ramaswamy (1979),Journal of Financial Economics,1979,price,Dividend per share divided by share price,yes,OHLCV 33y + 1m intraday,HLZ
Firm size,Banz (1981),Journal of Financial Economics,1981,other,Market value of firm stocks,unknown,,HLZ
Short interest,Figlewski (1981),Journal of Financial and Quantitative Analysis,1981,positioning/flow,Equity short interest,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
EP ratio,Basu (1983),Journal of Financial Economics,1983,price,Firm earnings-to-price ratio,yes,OHLCV 33y + 1m intraday,HLZ
Long-term return reversal,De Bondt and Thaler (1985),Journal of Finance,1985,price,Long-term past abnormal return,yes,OHLCV 33y + 1m intraday,HLZ
Debt to equity ratio,Bhandari (1988),Journal of Finance,1988,fundamental,Non-common equity liabilities to equity,no-data,needs paid fundamentals depth,HLZ
Illiquidity,Amihud and Mendelson (1989),Journal of Finance,1989,microstructure,Illiquidity proxied by bid-ask spread,partial,"volume/range only, no L2",HLZ
Predicted earnings change,Ou and Penman (1989),Journal of Accounting & Economics,1989,fundamental,Predicted earnings change in one year based on a financial statement analysis that combines a large set of financial statement items,no-data,needs paid fundamentals depth,HLZ
Return predictability,Jegadeesh (1990),Journal of Finance,1990,price,Short-term (one month) and long-term (twelve months) serial correlations in returns,yes,OHLCV 33y + 1m intraday,HLZ
Return momentum,Jegadeesh and Titman (1993),Journal of Finance,1993,price,Past stock returns,yes,OHLCV 33y + 1m intraday,HLZ
New public stock issuance,Loughran and Ritter (1995),Journal of Finance,1995,fundamental,New public stock issuance,no-data,needs paid fundamentals depth,HLZ
Dividend initiations,"Michaely, Thaler and Womack (1995)",Journal of Finance,1995,fundamental,Initiations of cash dividend payments,no-data,needs paid fundamentals depth,HLZ
Dividend omissions,"Michaely, Thaler and Womack (1995)",Journal of Finance,,fundamental,Omissions of cash dividend payments,no-data,needs paid fundamentals depth,HLZ
Earnings forecast,La Porta (1996),Journal of Finance,1996,positioning/flow,Errors in analysts' forecasts on earnings growth,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
R&D capital,Lev and Sougiannis (1996),Journal of Accounting & Economics,1996,fundamental,R&D capital over total assets,no-data,needs paid fundamentals depth,HLZ
