ticker,tier,nS,sumS,sqS,nC,sumC,sqC
NVDA,large,32,-16.721,31.506,704,-198.959,1037.662
BAC,mid,69,5.923,89.141,1353,-208.333,2201.251
GS,large,6,1.880,8.045,685,-163.073,987.497
KLAC,large,15,-2.620,20.611,1168,-249.583,1637.755
SNDK,large,0,0.000,0.000,14,-8.091,13.445
NEE,mid,13,-1.141,15.682,1352,-366.007,2076.431
HTHIY,mid,29,20.799,66.762,1124,-207.889,2162.639
LMT,large,34,-6.697,47.538,1464,-271.004,2296.395
FTNT,large,5,-4.744,4.697,386,-134.385,575.283
BP,mid,38,8.572,65.475,1442,-287.798,2597.039
SPOT,large,11,-2.540,21.263,209,-10.164,325.169
TKOMY,mid,27,23.094,96.007,1190,-222.498,2188.816
INTU,large,17,-10.794,22.561,807,-234.317,1066.855
AEM,large,50,10.156,133.544,1388,-2.695,2376.049
HON,large,19,-1.978,39.085,1421,-373.934,2063.002
MSI,large,43,-17.571,66.787,1443,-315.091,2244.170
ALL,large,14,-6.773,15.413,838,-224.307,1201.928
FIX,large,16,8.247,29.924,729,-125.778,1112.907
EONGY,mid,20,-3.369,16.439,726,-134.840,1282.675
LHX,large,35,-15.959,24.593,1135,-269.562,1720.627
XYZ,mid,11,-8.907,12.899,247,-51.644,368.816
VTR,mid,23,22.188,51.743,727,-199.024,1005.965
CSLLY,mid,9,-9.053,9.841,411,-114.538,619.637
WDAY,large,7,-0.929,8.248,338,-39.845,491.682
SCMWY,mid,13,-0.800,29.186,691,-201.031,1074.129
VMC,large,58,8.096,111.692,1358,-337.358,2272.367
RJF,large,37,2.714,89.039,1090,-249.146,1789.275
CHT,mid,26,-10.505,27.894,601,-233.753,941.479
DXCM,mid,40,-8.911,42.269,512,-86.517,776.727
WSM,large,25,-11.972,34.334,1088,-256.261,1519.187
MTD,large,20,-4.324,18.206,717,-229.740,1008.088
TPL,large,54,-22.056,82.524,1184,-126.908,2235.256
DGX,large,7,1.716,15.285,755,-221.633,1130.050
KEY,mid,26,4.418,43.688,972,-243.674,1376.443
BRO,mid,191,-165.920,239.957,1156,-388.661,1482.066
ULTA,large,13,-1.998,23.169,440,-117.035,677.294
USFD,large,1,0.334,0.112,247,-82.169,317.571
BCH,mid,6,0.210,0.989,600,-151.053,803.794
SQM,mid,37,2.300,90.405,847,-3.232,1785.761
WY,mid,52,-20.052,62.352,1338,-261.168,2007.324
AKAM,large,31,-15.456,25.240,665,-140.536,994.845
KSPI,mid,3,5.207,9.216,56,1.130,68.678
GEN,mid,46,-2.918,77.137,925,-184.862,1359.230
YUMC,mid,1,-1.089,1.185,253,-56.116,387.525
BEP,mid,10,-6.228,8.458,490,-106.197,805.949
MAS,mid,7,0.900,12.159,1187,-167.023,1892.851
CRBG,mid,1,0.886,0.785,71,-15.414,112.828
PAG,large,24,-2.982,48.983,754,-160.425,1146.414
ONTO,large,4,-4.154,4.314,147,-35.890,210.770
SKM,mid,5,2.182,13.325,760,-64.450,1347.926
ELS,mid,3,-0.715,5.098,858,-201.388,1300.415
PEN,large,7,-3.379,5.250,247,-18.996,369.193
ALGN,large,43,-10.932,34.925,632,-142.182,877.844
WTS,large,7,-0.749,8.618,1009,-253.079,1466.347
BMRN,mid,25,-9.299,22.762,669,-90.951,928.093
XPEV,small,2,3.360,6.135,139,-39.397,186.485
DOCU,mid,5,-1.888,9.348,185,-12.272,300.907
AR,mid,21,-8.528,31.964,337,-3.549,488.569
UHS,large,43,-20.189,43.990,1144,-129.468,1830.097
AM,mid,17,5.998,27.453,198,-43.836,314.162
VIAV,mid,39,-0.153,65.501,847,-163.307,1250.524
LEVI,mid,2,0.223,0.062,149,-40.548,217.983
PRMB,mid,40,26.497,100.345,875,-34.955,1489.084
LNC,mid,28,9.424,46.753,1173,-217.659,1894.096
TIMB,small,27,-24.616,26.221,672,-99.224,1034.193
CBSH,mid,11,-2.932,11.680,1187,-370.916,1577.917
PCOR,mid,8,0.438,5.212,125,-10.980,194.618
DBX,mid,1,2.898,8.398,194,-63.871,259.077
BRKR,mid,24,-8.940,31.116,628,-125.389,805.200
POWL,large,42,-1.871,82.020,1186,-231.094,1447.020
VIPS,small,19,6.734,37.865,349,-13.081,508.763
LW,mid,31,-6.715,43.629,229,-63.170,331.377
AN,large,13,-6.780,10.214,913,-114.814,1298.960
BIRK,mid,0,0.000,0.000,54,-5.614,70.373
IFS,mid,10,-6.777,10.741,160,-48.299,202.637
DSGX,mid,13,-5.349,23.417,709,-169.205,1055.755
RUSHA,mid,4,-2.577,2.432,552,-122.325,684.610
ENIC,micro,9,-6.785,18.438,237,-95.694,328.637
LYFT,small,13,-6.699,23.419,189,11.445,317.890
KNSA,mid,10,0.607,17.823,174,-45.652,186.829
ABCB,mid,12,2.125,36.977,819,-98.852,1110.060
PECO,mid,0,0.000,0.000,128,-42.183,139.259
DFTX,mid,8,8.811,25.799,213,-52.176,227.436
DLB,mid,8,-0.652,6.170,520,-59.662,878.964
NJR,mid,18,-10.100,15.289,1183,-380.647,1476.218
BXSL,mid,5,10.502,24.815,110,-5.621,174.097
OCTV,skip,0,0,0,0,0,0
VIRT,mid,16,3.738,27.258,262,-22.444,395.043
CNO,mid,27,2.991,35.539,562,-59.933,909.072
SAIC,large,15,3.177,18.750,337,-113.576,479.513
ACAD,mid,39,2.741,55.689,529,-75.528,715.636
WSC,mid,13,-8.296,15.399,257,-68.859,518.621
TNGX,mid,6,-6.098,6.199,137,-2.590,183.651
AZZ,large,89,0.470,201.258,1189,-79.696,1837.920
MBRFY,micro,14,2.453,35.576,370,-157.999,600.033
SITE,large,3,2.067,2.834,241,-67.783,320.302
FCN,large,20,-4.590,17.080,754,-177.018,1079.703
NGXXF,mid,0,0.000,0.000,26,1.643,47.241
ZGN,small,0,0.000,0.000,99,-18.167,151.327
IPGP,mid,31,6.137,42.981,488,3.944,858.958
MIR,small,10,-9.463,11.530,145,-27.445,206.329
DOCS,mid,9,-7.005,7.241,116,-31.679,169.267
PRK,large,11,0.014,21.659,892,-118.874,1308.958
MSGE,mid,0,0.000,0.000,72,-37.947,93.389
LBTYA,small,20,1.409,11.763,536,-115.814,745.070
OPCH,mid,55,-4.507,130.602,754,-96.252,1170.787
NATL,mid,0,0.000,0.000,52,-6.958,66.526
USLM,large,49,4.507,58.557,1185,-250.829,1726.677
CARG,mid,10,-8.936,10.796,192,-27.157,325.214
GSHD,mid,13,-5.577,29.489,193,-24.715,324.310
GRAL,mid,0,0.000,0.000,30,-18.020,33.215
SBLK,mid,29,9.642,48.586,472,-33.497,654.723
CSAN,micro,2,-2.524,3.187,118,-35.866,186.240
WHR,mid,56,1.333,134.987,1358,-230.063,2286.342
KALU,large,0,0.000,0.000,515,-154.314,675.368
FSM,small,10,-7.911,10.662,461,-105.427,645.646
TRMK,mid,104,-61.974,90.535,1190,-329.996,1253.257
DNN,micro,11,6.988,34.188,549,-108.523,759.776
ESTA,mid,12,-8.271,7.851,162,-29.852,251.848
EBOSY,mid,14,9.681,32.537,13,-12.565,28.598
LCII,large,30,0.863,62.902,1013,-184.751,1590.078
PBI,small,53,-7.835,90.554,1375,-380.009,2028.067
PTY,small,42,3.434,97.429,605,-239.059,1281.670
BLBD,mid,20,5.691,35.367,283,-45.973,407.618
CDNA,mid,15,-7.603,31.208,294,-37.716,420.666
ARR,small,18,-5.341,20.746,475,-32.457,1023.679
RAMP,mid,66,-5.370,111.066,1083,-127.283,1723.666
COAG,skip,0,0,0,0,0,0
NMM,mid,19,-0.487,15.974,440,-32.283,696.481
SIND,skip,0,0,0,0,0,0
ADMA,small,12,-4.237,9.797,305,-63.248,383.641
CHA,small,2,1.149,0.672,9,0.217,6.979
NEO,small,12,4.884,14.409,571,-112.535,771.180
ALKT,small,4,1.331,0.778,120,-20.026,163.568
AUPH,small,10,-6.820,7.853,274,-61.655,380.709
RLJ,small,12,-3.156,14.401,386,-99.374,555.574
LMAT,mid,8,-2.148,1.103,479,-106.937,630.087
GEL,small,37,10.471,86.038,762,-103.107,1206.903
FIGS,small,1,0.921,0.849,96,-7.764,152.730
TIC,small,0,0.000,0.000,22,6.795,29.755
BDJ,small,8,10.883,29.014,505,-120.410,1050.321
BCAX,mid,0,0.000,0.000,33,-15.204,29.520
BCAT,small,0,0.000,0.000,133,-29.340,206.913
BLFS,mid,23,-14.224,30.799,918,-143.852,1051.515
AZUL,skip,0,0,0,0,0,0
CNXC,mid,18,-0.518,32.359,135,6.696,222.566
BXBL,micro,0,0.000,0.000,12,-41.914,273.595
ESRT,micro,6,3.266,6.809,314,-113.558,532.509
TMP,mid,0,0.000,0.000,1034,-264.603,1366.597
BTT,mid,26,-23.147,41.139,320,-166.883,542.993
FMBH,mid,71,-30.437,279.900,694,-207.457,2173.887
SFDMY,mid,14,-2.186,0.341,6,-0.311,0.358
SLSR,small,1,2.873,8.252,112,-30.306,186.388
IMTX,small,1,-0.493,0.243,184,-19.601,304.689
EFOR,mid,29,-12.403,36.940,855,-201.168,1201.552
AKTS,skip,0,0,0,0,0,0
INBX,mid,0,0.000,0.000,25,-9.936,24.026
RXT,micro,2,2.415,3.677,138,-14.454,213.575
UPWK,small,5,-3.041,6.299,173,-5.594,275.408
LQDT,mid,8,-0.285,14.852,523,-54.252,777.025
STAA,mid,30,-0.404,31.142,852,-16.003,1299.465
AVEX,skip,0,0,0,0,0,0
NEWP,small,72,90.977,335.672,425,-140.756,983.689
TRUP,mid,3,3.055,3.113,269,-54.239,357.797
PLOW,mid,22,26.043,58.749,401,-76.162,580.121
MCBS,mid,0,0.000,0.000,167,-33.639,179.885
MUC,small,57,-41.543,114.874,708,-410.899,1446.657
PCRX,mid,16,-3.263,30.966,387,-70.112,466.967
APEI,mid,37,-7.213,38.575,455,-14.758,711.661
PDX,mid,13,9.114,34.799,167,-55.700,234.701
UAMY,small,21,-16.066,19.213,670,-71.983,786.502
LYTS,mid,37,9.817,42.443,1056,-90.485,1478.351
NRK,small,52,-27.556,98.727,570,-373.531,1262.878
NANO,skip,0,0,0,0,0,0
PD,small,7,-3.385,5.446,161,-19.470,205.858
ORRF,mid,25,-22.279,43.892,664,-163.873,1246.269
CRTO,small,13,0.263,9.639,305,-45.275,419.581
SHBI,mid,7,1.978,11.072,651,-94.638,916.305
WEST,small,4,4.153,12.609,88,6.664,139.215
SB,small,31,-9.972,28.457,454,-40.291,688.738
LPTH,small,27,-4.947,25.814,768,-81.919,900.138
ABXXF,small,13,-8.445,12.216,121,-21.769,144.167
JMIA,small,8,-1.646,10.404,157,3.386,200.290
CTMX,micro,21,3.969,41.041,286,-10.370,416.179
PHR,small,9,-6.900,7.617,145,7.382,271.361
CWBC,mid,16,-17.794,19.826,685,-211.176,1476.899
IMSR,small,0,0.000,0.000,19,-3.841,23.316
TCMD,mid,10,-5.570,10.972,258,-36.921,386.104
BOT,skip,0,0,0,0,0,0
KE,mid,2,-2.180,2.375,274,-64.001,379.370
FBRT,small,0,0.000,0.000,89,-5.119,149.035
GOGO,micro,27,-17.515,34.176,320,-37.470,501.068
KRNY,small,8,16.886,38.290,540,-160.330,639.127
NPB,small,0,0.000,0.000,14,-4.554,15.240
DSU,small,67,-20.732,110.510,718,-217.857,1378.784
MBUU,mid,2,-2.151,2.313,296,-47.324,447.050
HBCP,mid,3,-3.219,3.457,433,-109.556,519.410
EGY,small,32,60.645,192.388,835,-95.729,1251.254
WEAV,small,2,2.408,3.458,105,-20.765,136.418
EROK,skip,0,0,0,0,0,0
DPG,small,12,8.320,18.743,368,-101.154,714.543
MTW,small,36,-2.585,54.170,914,-128.882,1441.291
ASPI,micro,0,0.000,0.000,74,-34.121,93.417
PDLB,mid,7,-2.292,3.527,225,-57.331,268.485
BLND,micro,0,0.000,0.000,117,-32.319,159.914
