ticker,px,tier,nsig,setupR,randR,edge,t
NVDA,223.96,thin,0,,,,
QH,4.39,thin,15,,,,
GEV,990.32,thin,0,,,,
SNDK,1212.21,thin,0,,,,
BX,137.13,thin,1,,,,
UL,62.96,thin,0,,,,
FTNT,159.64,thin,0,,,,
PWR,671.86,thin,0,,,,
MGCLY,12.20,thin,0,,,,
INTU,325.25,thin,0,,,,
ROST,255.23,thin,0,,,,
SLB,50.53,thin,2,,,,
ALL,267.00,thin,0,,,,
PSA,328.40,thin,0,,,,
OKE,86.42,thin,3,,,,
XYZ,79.00,thin,1,,,,
FLEX,121.35,thin,0,,,,
MCHP,84.69,thin,9,,,,
SCMWY,77.77,thin,0,,,,
HSY,182.35,thin,2,,,,
RPRX,56.77,thin,0,,,,
DXCM,84.75,thin,2,,,,
DTE,139.87,thin,0,,,,
FTI,69.62,thin,0,,,,
DGX,238.35,thin,0,,,,
VRSK,191.82,thin,0,,,,
FTAI,216.24,thin,0,,,,
USFD,108.88,thin,0,,,,
VTRS,16.43,thin,0,,,,
MGA,70.36,thin,0,,,,
AKAM,110.54,thin,2,,,,
TRMOY,,skip,0,,,,
CLH,308.17,thin,6,,,,
BEP,33.20,thin,0,,,,
PTC,147.71,thin,3,,,,
LYTHF,12.75,small,22,-1.318,-0.219,-1.099,-3.28
ONTO,308.30,thin,4,,,,
GGG,83.54,thin,1,,,,
WBS,79.03,thin,0,,,,
ALGN,173.66,thin,5,,,,
FPS,,skip,0,,,,
BROS,53.01,thin,0,,,,
DOCU,60.26,thin,2,,,,
MOD,195.60,thin,6,,,,
MOH,196.45,thin,11,,,,
VIAV,39.14,thin,0,,,,
ESI,37.88,thin,1,,,,
FORM,117.39,thin,0,,,,
TIMB,18.43,thin,2,,,,
AVAV,186.73,thin,1,,,,
VLY,14.55,thin,2,,,,
BRKR,53.41,thin,0,,,,
TGTX,49.76,thin,0,,,,
PLXS,270.35,thin,0,,,,
AN,209.23,thin,0,,,,
FNB,18.97,thin,0,,,,
QLYS,183.48,thin,4,,,,
RUSHA,80.08,thin,0,,,,
WFRD,86.82,thin,0,,,,
BEPC,33.74,thin,0,,,,
ABCB,87.73,thin,0,,,,
ALK,49.96,thin,0,,,,
BMA,83.65,thin,0,,,,
NJR,55.02,thin,0,,,,
FTDR,90.83,thin,1,,,,
PEGA,32.74,thin,0,,,,
CNO,55.16,thin,0,,,,
TBBB,40.80,thin,0,,,,
FELE,109.46,thin,0,,,,
TNGX,27.07,thin,4,,,,
SKYW,111.84,thin,0,,,,
TGS,28.79,thin,0,,,,
FCN,151.43,thin,0,,,,
BBWI,20.36,thin,6,,,,
DNP,10.85,thin,1,,,,
MIR,15.71,thin,0,,,,
CRK,13.41,thin,4,,,,
UCTT,87.25,thin,2,,,,
LBTYA,10.55,thin,2,,,,
CBU,64.85,thin,0,,,,
FHB,27.49,thin,0,,,,
CARG,38.99,thin,0,,,,
NAMS,27.96,thin,0,,,,
VTMX,34.23,thin,0,,,,
CSAN,2.88,thin,1,,,,
TTAM,16.01,thin,0,,,,
JPC,7.73,thin,0,,,,
TRMK,47.42,thin,0,,,,
DRH,12.53,thin,0,,,,
ARX,12.46,thin,0,,,,
LCII,108.80,thin,1,,,,
NEOG,11.47,thin,6,,,,
RARE,25.91,thin,1,,,,
CDNA,46.69,thin,0,,,,
